VICIDIAL|GOOD|Tue, 22 Nov 2005 14:58:40 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:02:51 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:03:00 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:03:10 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:03:12 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:05:07 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:05:10 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:28:49 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:30:11 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Tue, 22 Nov 2005 15:30:15 -0500|6666|sales|10.10.6.1|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|test user|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:06:49 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:07:13 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:07:17 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 22 Dec 2005 17:07:21 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Fri, 23 Dec 2005 14:39:30 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8) Gecko/20051111 Firefox/1.5|1 - MATT admin|
VICIDIAL|GOOD|Thu, 19 Jan 2006 15:38:43 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
VICIDIAL|GOOD|Thu, 19 Jan 2006 15:38:45 -0500|123456|bob5|10.10.6.19|Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7|1 - MATT admin|
